,database-id,groupID,gender,age,computerUse,brand,silent,defaultNotification,city-start-time,city-end-time,city-alert1-time,city-alert2-time,city-alert3-time,city-wpm,beach-start-time,beach-end-time,beach-alert1-time,beach-alert2-time,beach-alert3-time,beach-wpm,airport-start-time,airport-end-time,airport-alert1-time,airport-alert2-time,airport-alert3-time,airport-wpm
0,6436f917e0d3e1edac3f5cc1,C-2857,female,1234,4-7,Pixel,0,True,1681323821058.0,1681323979844.0,1681323897849.0,1681323936134.0,1681323855033.0,38.0,1681324009966.0,1681324174363.0,1681324064831.0,1681324110623.0,1681324162553.0,242,1681324176241.0,,1681324304685.0,1681324214665.0,1681324262729.0,84.0
1,6439a5dac7a21134eebbc663,B-4997,male,39,4-7,Apple,75,True,1681498935471.0,1681499140725.0,1681499004654.0,1681498986158.0,1681498965775.0,0.0,1681499405818.0,,1681499447870.0,1681499539470.0,1681499502867.0,43,1681499170603.0,1681499376293.0,1681499269597.0,1681499227481.0,1681499322966.0,34.0
2,643e0814ca6478cce3cc4bb5,C-8600,,,,,,,,,,,,,1681786892869.0,,,,,0,,,,,,
3,643e9dec9ba4a5fd032ec7b3,D-1107,male,27,10+,Apple,100,True,1681825245739.0,1681825252415.0,,,,0.0,1681825255553.0,,,,,0,1681825253739.0,1681825254711.0,,,,0.0
4,643e9e3c9ba4a5fd032ec7b4,A-5368,male,27,10+,Apple,100,True,1681825338044.0,,,,,0.0,1681825332512.0,1681825335380.0,,,,0,1681825336286.0,1681825337093.0,,,,0.0
5,643ea00dce53f810e7875544,B-2428,male,27,10+,Apple,100,True,1681825559181.0,1681825719792.0,1681825648490.0,1681825620691.0,1681825608242.0,43.0,1681825777144.0,,,,,0,1681825749958.0,1681825759917.0,,,,0.0
6,643ee59e27b7ae5445086de4,C-4732,female,11,4-7,Nokia,4,False,1681843400178.0,,1681843453604.0,1681843496284.0,1681843475712.0,0.0,1681843163119.0,1681843306370.0,1681843256060.0,1681843235268.0,1681843207268.0,68,1681843308265.0,1681843398540.0,1681843368492.0,1681843333588.0,1681843395707.0,56.0
